,number,fieldnumber,depth_capture_range_ft,depth_capture_avg_m,depth_avg,weight_g,SL_mm,TL_mm,sex,gonad_weight_g,guts_preserved,whole_fish_preserved,notes,gonad_index,tissues_taken_for.SIA...S...Scale..M...Muscle..H...Heart.,depth_categorical,muscle_ctotal,muscle_ntotal,scale_ctotal,scale_ntotal,heart_ctotal,heart_ntotal,calibration,tp,tissue,c,n,tissuedepth
2,CUR_LION19002,CURSH19-04,50 - 70 ft,18.288,60,175,176,NA,F,11,YES,YES,,Actively spawning,"S, M, H",shallow,183.285,58.365,116.42,40.75,175.49,47.04,average,2.463235294,heart,-17.92,8.66,heart_shallow
5,CUR_LION19003,CURSH19-04,50 - 70 ft,18.288,60,197,185,NA,F,5,YES,YES,,Spawning Capable,"S, M, H",shallow,190.58,60.13,113.43,40.11,190.81,51.9,single,2.458823529,heart,-16.8,8.6,heart_shallow
11,CUR_LION19005,CURSH19-06,70 ft,21.336,70,337,215,290,M,Not Recorded,YES,YES,,Spawning capable,"S, M, H",shallow,186.53,54.29,116.69,41.05,189.61,50.28,single,2.420588235,heart,-17.11,8.39,heart_shallow
14,CUR_LION19006,CURSH19-07,45 - 90 ft,18.288,60,488,235,320,M,Not Recorded,YES,YES,,Spawning Capable,"S, M, H",shallow,214.47,47.8,125.89,43.65,181.55,48.33,single,2.405882353,heart,-17.01,8.36,heart_shallow
17,CUR_LION19007,CURSH19-07,45 - 90 ft,18.288,60,237,200,265,F,22,YES,YES,,Actively spawning,"S, M, H",shallow,201.55,49.78,113.55,38.87,184.38,51.59,single,2.535294118,heart,-16.67,8.2,heart_shallow
20,CUR_LION19008,CURSH19-07,45 - 90 ft,18.288,60,197,190,260,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",shallow,185.48,57.83,114.39,39.59,182.22,49.59,single,2.411764706,heart,-17.06,8.55,heart_shallow
32,CUR_LION19012,CURSH19-08,17 ft,5.1816,17,147,166,225,F,9,YES,YES,,Actively Spawning,"S, M, H",shallow,183.81,57.14,115.47,40.1,182.31,49.36,average,2.467647059,heart,-17.92,8.62,heart_shallow
35,CUR_LION19013,CURSH19-08,17 ft,5.1816,17,101,145,193,M,Not Recorded,YES,YES,,Spawning Capable,"S, M, H",shallow,180.99,56.52,126.93,44.15,179.71,46.52,average,2.55,heart,-17.04,8.57,heart_shallow
38,CUR_LION19014,CURSH19-08,120 ft,36.576,120,23,90,133,M,Not Recorded,YES,YES,scales taken from multiple spots on the body in order to get enough scales for the isotope sample due to the small size of the individual,immature (virgin),"*S, M, H",shallow,183.64,57.23,124.28,42.05,115.29,28.45,single,2.508823529,heart,-18.39,8.34,heart_shallow
41,CUR_LION19015,CURSH19-08,120 ft,36.576,120,13,79,107,M,Not Recorded,YES,YES,scales taken from multiple spots on the body in order to get enough scales for the isotope sample due to the small size of the individual,immature (virgin),"*S, M, H",shallow,177.22,55.07,132.31,43.34,48.32,10.57,single,2.379411765,heart,-18.72,7.82,heart_shallow
44,CUR_LION19016,CURSH19-09,40 - 80 ft,12.192,40,259,196,258,M,Not Recorded,YES,YES,,Immature(virgin),"S, M, H",shallow,194.08,56.45,115.95,39.47,180.07,47.29,single,2.423529412,heart,-17.26,9.02,heart_shallow
47,CUR_LION19017,CURSH19-09,40 - 80 ft,15.24,50,181,183,247,M,Not Recorded,YES,YES,,Spawning capable,"S, M, H",shallow,192.51,61.1,110.28,37.74,175.02,45.89,average,2.345588235,heart,-17.27,8.3,heart_shallow
50,CUR_LION19018,CURSH19-09,40 - 80 ft,18.288,60,246,191,254,M,Not Recorded,YES,YES,,Spawning Capable,"S, M, H",shallow,189.84,59.07,122.79,42.76,183.49,47.4,single,2.491176471,heart,-17.09,8.92,heart_shallow
53,CUR_LION19019,CURSH19-09,40 - 80 ft,21.336,70,310,208,274,M,Not Recorded,YES,YES,,Spawning capable,"S, M, H",shallow,190.2,57.58,121.37,41,180.34,47.75,single,2.635294118,heart,-16.74,9.06,heart_shallow
56,CUR_LION19020,CURSH19-09,40 - 80 ft,24.384,80,535,252,329,M,Not Recorded,YES,YES,"Could not locate testes in the bag, but given the size of the individual, it was most likely spawning capable",*Spawning capable?,"S, M, H",shallow,187.24,59.37,123.31,42.56,186.72,50.24,single,2.444117647,heart,-17.54,9.45,heart_shallow
59,CUR_LION19021,CURSH19-10,30 - 65 ft,9.144,30,390,230,295,F,34,YES,YES,entire heart unable to be collected. Entire Bulbous arteriosus collected and part of the atrium/ventricle.,Actively Spawning,"S, M, *H",shallow,203.33,38.32,111.9,38.5,186,52.85,single,2.479411765,heart,-16.36,7.73,heart_shallow
62,CUR_LION19022,CURSH19-10,30 - 65 ft,13.716,45,178,183,240,M,Not Recorded,YES,YES,,Immature (virgin),"S, M, H",shallow,189.9,60.26,124.67,41.29,178.74,48.71,single,2.388235294,heart,-17.17,8.41,heart_shallow
65,CUR_LION19023,CURSH19-10,30 - 65 ft,19.812,65,183,180,230,F,10,YES,YES,,Actively Spawning,"S, M, H",shallow,190.17,59.195,113.56,39.07,178.9,47.81,average,2.494117647,heart,-16.97,8.57,heart_shallow
101,CUR_LION19035,CURSH19-12,55-65 ft,18.288,60,745,275,360,M,<1,YES,YES,,Spawning Capable,"S, M, H",shallow,182.57,56.82,113.52,39.27,193.54,50.74,single,2.614705882,heart,-16.88,9.14,heart_shallow
107,CUR_LION19037,CURSH19-11,50-70,15.24,50,22,92,125,immature,<1,YES,YES,scales taken from multiple spots on the body in order to get enough scales for the isotope sample due to the small size of the individual,immature,"*S, M, H",shallow,182.97,56.7,122.09,41.13,186.18,47.83,single,2.267647059,heart,-17.16,7.26,heart_shallow
134,CUR_LION19046,CURASUB19-06,425,7.62,25,740,315,395,M,<1,YES,YES,,Spawning Capable,"S, M, H",shallow,198.21,63.7,79.31,26.45,178.42,48.42,single,3.073529412,heart,-17.22,10.94,heart_shallow
137,CUR_LION19047,CURSH19-13,65,16.4592,54,160,155,220,M,<1,YES,YES,immature,Immature (virgin),"S, M, H",shallow,183.62,57.91,118.62,41.12,185.35,49.57,single,2.341176471,heart,-16.82,7.93,heart_shallow
140,CUR_LION19048,CURSH19-13,60,18.288,60,63,125,175,F,<1,YES,YES,,Early Developing ,"S, M, H",shallow,181.915,57.37,112.34,38.82,189.36,47.46,average,2.408823529,heart,-17.39,8.3,heart_shallow
143,CUR_LION19049,CURSH19-14,47-60,13.716,45,137,155,220,F,<1,YES,YES,immature,Immature/early developing,"S, M, H",shallow,187.4,59.51,123.41,43.78,187.09,49.69,single,2.355882353,heart,-16.57,7.77,heart_shallow
146,CUR_LION19050,CURSH19-14,47-60,16.764,55,118,150,195,F,<1,YES,YES,,Early developing,"S, M, H",shallow,186.36,57.27,124.79,42.23,184.29,46.47,single,2.388235294,heart,-16.99,8.32,heart_shallow
149,CUR_LION19051,CURSH19-14,47-60,18.288,60,149,160,225,?,<1,YES,YES,,immature (virgin),"S, M, H",shallow,183.45,56.81,121.9,41.94,185.77,48.78,single,2.367647059,heart,-16.94,8.06,heart_shallow
185,CUR_LION19064,CURSH19-15,50-73,18.288,60,132,160,210,F,<1,YES,YES,immature,Early Developing ,"S, M, H",shallow,184.38,56.98,121.45,40.57,188.915,49.355,average,2.467647059,heart,-16.56,8.295,heart_shallow
188,CUR_LION19065,CURSH19-15,50-73,15.24,50,211,185,235,F,<1,YES,YES,immature,Early developing,"S, M, H",shallow,194.58,57.7,126.77,43.615,189.56,47.675,average,2.352941176,heart,-16.925,8.62,heart_shallow
191,CUR_LION19066,CURSH19-15,50-73,22.2504,73,130,155,210,M,<1,YES,YES,,immature (virgin),"S, M, H",shallow,186.095,56.845,123.27,42.01,182.64,49.45,average,2.389705882,heart,-16.25,8.11,heart_shallow
194,CUR_LION19067,CURSH19-15,50-73,19.812,65,175,175,240,F,<1,YES,YES,"immature, previously sexed as M",early developing,"S, M, H",shallow,190.48,58.86,120.16,40.34,186.69,49.2,single,2.414705882,heart,-17.13,8.3,heart_shallow
8,CUR_LION19004,CURASUB19-02,,106.68,350,880,360,470,F,6,YES,YES,,Early Developing,"S, M, H",deep,187.53,59.1,114.03,39.04,180.91,44.72,single,2.961764706,heart,-17.19,10.84,heart_deep
23,CUR_LION19009,CURASUB19-03,,106.68,350,179,195,245,F,8,YES,YES,,Spawning capable,"S, M, H",deep,184.135,57.78,122.2,40.99,179.29,47.21,average,2.510294118,heart,-17.11,9.22,heart_deep
26,CUR_LION19010,CURSH19-08,200 ft,60.96,200,581,255,340,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",deep,185.96,58.99,116.23,40.11,178.06,48.52,average,2.507352941,heart,-17.46,8.81,heart_deep
29,CUR_LION19011,CURSH19-08,200 ft,60.96,200,236,183,245,M,Not Recorded,YES,YES,,immature (virgin),"S, M, H",deep,187.39,59.09,122.31,42.14,186.06,48.66,single,3.244117647,heart,-13.46,10.83,heart_deep
68,CUR_LION19024,CURASUB19-04,224 ft,68.2752,224,116,160,215,M,Not Recorded,YES,YES,,immature (virgin),"S, M, H",deep,155.18,49.12,123.4,42.39,172.13,45.92,average,2.530882353,heart,-18.05,8.67,heart_deep
71,CUR_LION19025,CURASUB19-04,290 ft,88.392,290,714,305,395,M,Not Recorded,YES,YES,,Spawning capable,"S, M, H",deep,185.8,59.23,110.89,37.32,178.4,47.89,single,2.732352941,heart,-17.77,9.97,heart_deep
74,CUR_LION19026,CURASUB19-04,290 ft,88.392,290,216,205,265,F,7,YES,YES,,Spawning capable,"S, M, H",deep,182.85,57.74,112.62,37.34,187.98,53.82,single,2.632352941,heart,-17.28,8.25,heart_deep
77,CUR_LION19027,CURASUB19-04,290 ft,88.392,290,467,275,375,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",deep,179.27,58.4,109.42,38.12,184.48,48.64,average,2.632352941,heart,-17.91,9.72,heart_deep
80,CUR_LION19028,CURASUB19-04,350 ft,106.68,350,670,300,390,M,Not Recorded,YES,YES,,Spawning capable,"S, M, H",deep,187.34,53.01,116.22,40.1,186.36,49.09,average,2.970588235,heart,-17.42,9.88,heart_deep
83,CUR_LION19029,CURASUB19-04,390 ft,118.872,390,664,305,405,M,Not Recorded,YES,YES,,Spawning Capable,"S, M, H",deep,172.55,53.81,105.59,36.8,176.235,45.94,average,2.958823529,heart,-17.665,10.465,heart_deep
86,CUR_LION19030,CURASUB19-04,370 ft,112.776,370,275,212,270,M,Not Recorded,YES,YES,Gonads not in bag,?,"S, M, H",deep,180,56.72,110.31,37.37,185.43,48.32,average,2.757352941,heart,-17.97,10.24,heart_deep
89,CUR_LION19031,CURASUB19-04,390 ft,118.872,390,248,204,268,F,9,YES,YES,,Spawning Capable,"S, M, H",deep,185.04,54.75,106.6,36.23,185.79,47.96,single,2.75,heart,-17.9,9.93,heart_deep
92,CUR_LION19032,CURASUB19-05,340 ft,103.632,340,320,218,290,F,32,YES,YES,,Actively Spawning,"S, M, H",deep,174.835,56.105,115.62,39.09,192.31,48.7,average,2.848529412,heart,-18.06,10.61,heart_deep
95,CUR_LION19033,CURASUB19-05,330 ft,100.584,330,700,300,410,M,<1,YES,YES,,Spawning capable,"S, M, H",deep,184.05,58.95,113.03,38.25,175.2,44.87,single,2.755882353,heart,-18.06,9.67,heart_deep
