"","number","fieldnumber","depth_capture_range_ft","depth_capture_avg_m","depth_avg","weight_g","SL_mm","TL_mm","sex","gonad_weight_g","guts_preserved","whole_fish_preserved","notes","gonad_index","tissues_taken_for.SIA...S...Scale..M...Muscle..H...Heart.","depth_categorical","muscle_ctotal","muscle_ntotal","scale_ctotal","scale_ntotal","heart_ctotal","heart_ntotal","calibration","tp","tissue","c","n"
"1","CUR_LION19002","CURSH19-04","50 - 70 ft",18.288,60,175,176,NA,"F","11","YES","YES","","Actively spawning","S, M, H","shallow",183.285,58.365,116.42,40.75,175.49,47.04,"average",2.46323529411765,"muscle",-17.455,8.975
"2","CUR_LION19002","CURSH19-04","50 - 70 ft",18.288,60,175,176,NA,"F","11","YES","YES","","Actively spawning","S, M, H","shallow",183.285,58.365,116.42,40.75,175.49,47.04,"average",2.46323529411765,"heart",-17.92,8.66
"3","CUR_LION19002","CURSH19-04","50 - 70 ft",18.288,60,175,176,NA,"F","11","YES","YES","","Actively spawning","S, M, H","shallow",183.285,58.365,116.42,40.75,175.49,47.04,"average",2.46323529411765,"scale",-14.99,9.1
"4","CUR_LION19003","CURSH19-04","50 - 70 ft",18.288,60,197,185,NA,"F","5","YES","YES","","Spawning Capable","S, M, H","shallow",190.58,60.13,113.43,40.11,190.81,51.9,"single",2.45882352941176,"muscle",-16.27,8.96
"5","CUR_LION19003","CURSH19-04","50 - 70 ft",18.288,60,197,185,NA,"F","5","YES","YES","","Spawning Capable","S, M, H","shallow",190.58,60.13,113.43,40.11,190.81,51.9,"single",2.45882352941176,"heart",-16.8,8.6
"6","CUR_LION19003","CURSH19-04","50 - 70 ft",18.288,60,197,185,NA,"F","5","YES","YES","","Spawning Capable","S, M, H","shallow",190.58,60.13,113.43,40.11,190.81,51.9,"single",2.45882352941176,"scale",-13.79,9.57
"7","CUR_LION19004","CURASUB19-02","",106.68,350,880,360,470,"F","6","YES","YES","","Early Developing","S, M, H","deep",187.53,59.1,114.03,39.04,180.91,44.72,"single",2.96176470588235,"muscle",-17.07,10.67
"8","CUR_LION19004","CURASUB19-02","",106.68,350,880,360,470,"F","6","YES","YES","","Early Developing","S, M, H","deep",187.53,59.1,114.03,39.04,180.91,44.72,"single",2.96176470588235,"heart",-17.19,10.84
"9","CUR_LION19004","CURASUB19-02","",106.68,350,880,360,470,"F","6","YES","YES","","Early Developing","S, M, H","deep",187.53,59.1,114.03,39.04,180.91,44.72,"single",2.96176470588235,"scale",-13.93,8.89
"10","CUR_LION19005","CURSH19-06","70 ft",21.336,70,337,215,290,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","shallow",186.53,54.29,116.69,41.05,189.61,50.28,"single",2.42058823529412,"muscle",-17.01,8.83
"11","CUR_LION19005","CURSH19-06","70 ft",21.336,70,337,215,290,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","shallow",186.53,54.29,116.69,41.05,189.61,50.28,"single",2.42058823529412,"heart",-17.11,8.39
"12","CUR_LION19005","CURSH19-06","70 ft",21.336,70,337,215,290,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","shallow",186.53,54.29,116.69,41.05,189.61,50.28,"single",2.42058823529412,"scale",-14.18,8.55
"13","CUR_LION19006","CURSH19-07","45 - 90 ft",18.288,60,488,235,320,"M","Not Recorded","YES","YES","","Spawning Capable","S, M, H","shallow",214.47,47.8,125.89,43.65,181.55,48.33,"single",2.40588235294118,"muscle",-18.83,8.78
"14","CUR_LION19006","CURSH19-07","45 - 90 ft",18.288,60,488,235,320,"M","Not Recorded","YES","YES","","Spawning Capable","S, M, H","shallow",214.47,47.8,125.89,43.65,181.55,48.33,"single",2.40588235294118,"heart",-17.01,8.36
"15","CUR_LION19006","CURSH19-07","45 - 90 ft",18.288,60,488,235,320,"M","Not Recorded","YES","YES","","Spawning Capable","S, M, H","shallow",214.47,47.8,125.89,43.65,181.55,48.33,"single",2.40588235294118,"scale",-14.31,8.47
"16","CUR_LION19007","CURSH19-07","45 - 90 ft",18.288,60,237,200,265,"F","22","YES","YES","","Actively spawning","S, M, H","shallow",201.55,49.78,113.55,38.87,184.38,51.59,"single",2.53529411764706,"muscle",-18.08,9.22
"17","CUR_LION19007","CURSH19-07","45 - 90 ft",18.288,60,237,200,265,"F","22","YES","YES","","Actively spawning","S, M, H","shallow",201.55,49.78,113.55,38.87,184.38,51.59,"single",2.53529411764706,"heart",-16.67,8.2
"18","CUR_LION19007","CURSH19-07","45 - 90 ft",18.288,60,237,200,265,"F","22","YES","YES","","Actively spawning","S, M, H","shallow",201.55,49.78,113.55,38.87,184.38,51.59,"single",2.53529411764706,"scale",-14.15,9.12
"19","CUR_LION19008","CURSH19-07","45 - 90 ft",18.288,60,197,190,260,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","shallow",185.48,57.83,114.39,39.59,182.22,49.59,"single",2.41176470588235,"muscle",-16.43,8.8
"20","CUR_LION19008","CURSH19-07","45 - 90 ft",18.288,60,197,190,260,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","shallow",185.48,57.83,114.39,39.59,182.22,49.59,"single",2.41176470588235,"heart",-17.06,8.55
"21","CUR_LION19008","CURSH19-07","45 - 90 ft",18.288,60,197,190,260,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","shallow",185.48,57.83,114.39,39.59,182.22,49.59,"single",2.41176470588235,"scale",-13.89,8.52
"22","CUR_LION19009","CURASUB19-03","",106.68,350,179,195,245,"F","8","YES","YES","","Spawning capable","S, M, H","deep",184.135,57.78,122.2,40.99,179.29,47.21,"average",2.51029411764706,"muscle",-16.025,9.135
"23","CUR_LION19009","CURASUB19-03","",106.68,350,179,195,245,"F","8","YES","YES","","Spawning capable","S, M, H","deep",184.135,57.78,122.2,40.99,179.29,47.21,"average",2.51029411764706,"heart",-17.11,9.22
"24","CUR_LION19009","CURASUB19-03","",106.68,350,179,195,245,"F","8","YES","YES","","Spawning capable","S, M, H","deep",184.135,57.78,122.2,40.99,179.29,47.21,"average",2.51029411764706,"scale",-13.44,9.03
"25","CUR_LION19010","CURSH19-08","200 ft",60.96,200,581,255,340,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","deep",185.96,58.99,116.23,40.11,178.06,48.52,"average",2.50735294117647,"muscle",-17.08,9.125
"26","CUR_LION19010","CURSH19-08","200 ft",60.96,200,581,255,340,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","deep",185.96,58.99,116.23,40.11,178.06,48.52,"average",2.50735294117647,"heart",-17.46,8.81
"27","CUR_LION19010","CURSH19-08","200 ft",60.96,200,581,255,340,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","deep",185.96,58.99,116.23,40.11,178.06,48.52,"average",2.50735294117647,"scale",-14.54,8.64
