"","number","fieldnumber","depth_capture_range_ft","depth_capture_avg_m","depth_avg","weight_g","SL_mm","TL_mm","sex","gonad_weight_g","guts_preserved","whole_fish_preserved","notes","gonad_index","tissues_taken_for.SIA...S...Scale..M...Muscle..H...Heart.","depth_categorical","muscle_c","muscle_ctotal","muscle_n","muscle_ntotal","scale_c","scale_ctotal","scale_n","scale_ntotal","heart_c","heart_ctotal","heart_n","heart_ntotal","calibration","tp"
"1","CUR_LION19002","CURSH19-04","50 - 70 ft",18.288,60,175,176,NA,"F","11","YES","YES","","Actively spawning","S, M, H","shallow",-17.455,183.285,8.975,58.365,-14.99,116.42,9.1,40.75,-17.92,175.49,8.66,47.04,"average",2.46323529411765
"2","CUR_LION19003","CURSH19-04","50 - 70 ft",18.288,60,197,185,NA,"F","5","YES","YES","","Spawning Capable","S, M, H","shallow",-16.27,190.58,8.96,60.13,-13.79,113.43,9.57,40.11,-16.8,190.81,8.6,51.9,"single",2.45882352941176
"3","CUR_LION19004","CURASUB19-02","",106.68,350,880,360,470,"F","6","YES","YES","","Early Developing","S, M, H","deep",-17.07,187.53,10.67,59.1,-13.93,114.03,8.89,39.04,-17.19,180.91,10.84,44.72,"single",2.96176470588235
"4","CUR_LION19005","CURSH19-06","70 ft",21.336,70,337,215,290,"M","Not Recorded","YES","YES","","Spawning capable","S, M, H","shallow",-17.01,186.53,8.83,54.29,-14.18,116.69,8.55,41.05,-17.11,189.61,8.39,50.28,"single",2.42058823529412
"5","CUR_LION19006","CURSH19-07","45 - 90 ft",18.288,60,488,235,320,"M","Not Recorded","YES","YES","","Spawning Capable","S, M, H","shallow",-18.83,214.47,8.78,47.8,-14.31,125.89,8.47,43.65,-17.01,181.55,8.36,48.33,"single",2.40588235294118
"6","CUR_LION19007","CURSH19-07","45 - 90 ft",18.288,60,237,200,265,"F","22","YES","YES","","Actively spawning","S, M, H","shallow",-18.08,201.55,9.22,49.78,-14.15,113.55,9.12,38.87,-16.67,184.38,8.2,51.59,"single",2.53529411764706
"7","CUR_LION19008","CURSH19-07","45 - 90 ft",18.288,60,197,190,260,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","shallow",-16.43,185.48,8.8,57.83,-13.89,114.39,8.52,39.59,-17.06,182.22,8.55,49.59,"single",2.41176470588235
"8","CUR_LION19009","CURASUB19-03","",106.68,350,179,195,245,"F","8","YES","YES","","Spawning capable","S, M, H","deep",-16.025,184.135,9.135,57.78,-13.44,122.2,9.03,40.99,-17.11,179.29,9.22,47.21,"average",2.51029411764706
"9","CUR_LION19010","CURSH19-08","200 ft",60.96,200,581,255,340,"M","Not Recorded","YES","YES","Gonads not in bag","?","S, M, H","deep",-17.08,185.96,9.125,58.99,-14.54,116.23,8.64,40.11,-17.46,178.06,8.81,48.52,"average",2.50735294117647
"10","CUR_LION19011","CURSH19-08","200 ft",60.96,200,236,183,245,"M","Not Recorded","YES","YES","","immature (virgin)","S, M, H","deep",-12.14,187.39,11.63,59.09,-9.6,122.31,11.73,42.14,-13.46,186.06,10.83,48.66,"single",3.24411764705882
